¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.90011
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.1542
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.41868
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.186715
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.412651
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657077
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.922258
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.210939
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.478482
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.722229
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.037445
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.399299
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.746755
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.063085
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.53865
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11091
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70709
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41601
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22801
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89503
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07916
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36541
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88284
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.80214
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.88637
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.16187
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.44896
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.72482
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.97055
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22625
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.49243
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.18054
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.406004
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649881
(394.95, 7.15, 359.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.914437
