¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.25855
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.796433
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.412447
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173011
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17271
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41351
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47418
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53758
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80234
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.27348
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 17.09104
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 17.06752
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 17.04737
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 17.0306
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 17.01716
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 17.00707
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 17.00029
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 16.99684
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 16.9967
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 16.99987
(340.01, 7.59, 372.96) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 16.98593
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.274097
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.444651
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.627751
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.824782
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.074181
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.379136
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.779136
(340.01, 7.59, 372.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244545
