¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32122
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09702
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90995
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00007
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00019
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28516
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83802
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.09778
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.600629
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.887687
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.2015
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.546804
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.956856
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433231
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.937064
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.57139
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2935
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09564
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91238
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00294
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01521
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31843
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.90112
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.22994
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.590145
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.875438
(400.73, 12.36, 329.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.188015
