¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
”(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.84618
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.974472
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216556
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.480402
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.755808
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.028388
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.325376
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.650128
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.013453
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.831177
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.219975
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.646551
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34267
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.1312
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56408
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.80042
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.02269
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.64366
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.87732
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63711
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.959406
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.200164
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.46291
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.733168
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.003782
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.298541
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.627411
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.984915
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.373863
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220417
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.647036
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29353
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30132
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53095
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.72381
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.92188
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.53294
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.72793
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.43101
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.944406
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.183849
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.445869
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.710828
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.979508
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.272076
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.60632
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.956796
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.342834
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.22133
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.648051
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24459
‡(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39132
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53898
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64105
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.82265
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.4234
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.58052
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22792
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.929474
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.167611
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.42889
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.688786
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.955566
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.245982
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.581092
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.929092
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.312277
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.737926
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.64962
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19586
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42691
(356.61, 7.07, 354.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.68675
