¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ó(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.432926
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.883659
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.294208
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.261011
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.284621
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.310547
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.378859
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.466711
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.605562
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.781611
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.11453
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727683
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.008545
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315344
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.651795
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020422
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425375
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.875225
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.173691
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.152804
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.175877
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.200863
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.278435
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.364138
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.513063
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.701372
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.05952
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.72052
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.000727
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.306764
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642407
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.011994
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.417763
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.866778
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.058002
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.049025
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.071238
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.10122
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.181621
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.265278
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.423719
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 9.629961
(428.51, 15.06, 245.95) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 10.06321
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00012
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713312
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.992873
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298189
(428.51, 15.06, 245.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.632945
