¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9626
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27506
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60475
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95079
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28584
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63934
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.035382
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.200782
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.378503
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.581834
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.80546
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.04187
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.301632
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.587914
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.902852
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.2509
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.637477
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.063968
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.184084
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.780336
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43286
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1793
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9309
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32213
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67769
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00277
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34761
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71396
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03871
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35465
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67172
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99129
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32815
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68366
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.026052
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.190781
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.368828
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.574276
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.797251
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.029645
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.289965
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.575116
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.888755
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.235294
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.614604
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.041382
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.152901
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.744865
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39203
(388.53, 12.47, 326.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1323
