¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.481483
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00081
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13257
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77378
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46929
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.54342
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.50468
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.13003
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.09722
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.06676
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.06934
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.0588
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.88116
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.64034
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.52283
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.40987
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.30129
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.19691
