¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ş(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45108
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81044
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47897
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25749
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.96985
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.54365
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.88312
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.510984
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.786616
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.089594
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42246
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.799619
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.221819
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.705847
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.246677
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.882007
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57893
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41791
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39662
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74518
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3969
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16175
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.86702
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.46916
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85843
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.50291
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.777883
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.079958
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.411852
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.786693
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.207398
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.68791
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.226723
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.857861
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55117
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37215
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34189
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69426
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.32969
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.07833
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.7662
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.40965
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.8333
(393.56, 14.70, 307.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.494792
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 5.05464
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 5.015971
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.993965
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.973096
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.95337
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.934765
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.917254
— (393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.900833
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.885448
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.871112
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.857782
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.845494
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.834218
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.823905
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.81459
(393.56, 14.70, 307.68) (414.46, 8.91, 312.02) (0.81, 2.16, 0.81) Human 4.806252
