¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.028296
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.194385
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.372945
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.565321
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.773172
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.998349
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.243062
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509952
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802014
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.477309
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.870299
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.308648
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.800437
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.356126
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.988775
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71542
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55852
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.08301
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 12.02738
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.97457
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.92454
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.87723
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.83259
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.79058
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.75115
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.71426
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.86419
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.018443
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.183837
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.361605
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.553108
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.759939
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.984043
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.227509
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492943
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.783442
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102531
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45467
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.845197
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.28059
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768936
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.32042
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.948041
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66846
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50385
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.61966
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.56772
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.51848
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.47188
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.42788
¬(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.38642
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.34747
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.33854
(342.16, 7.24, 370.29) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 11.33295
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.855179
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.008797
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.173512
(342.16, 7.24, 370.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.350476
