¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
“(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.801423
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.323112
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.912526
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58346
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35483
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31201
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3406
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51788
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75902
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18116
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98996
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.13989
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.777622
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.074011
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.400092
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.293917
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753669
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.269295
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.851492
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50053
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27423
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20938
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28361
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42667
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70762
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12059
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.72732
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.74179
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.749898
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.043664
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.364571
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251392
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.706091
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.215715
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.790825
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4182
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19424
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10734
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2265
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33618
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65647
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.06006
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.49965
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.35797
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.722302
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.013471
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.329202
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.698078
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.658729
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.162468
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.725513
†(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34013
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11489
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00591
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16928
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2464
(397.88, 11.73, 328.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60558
