¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€ (434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.841885
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.07154
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.321238
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.438012
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.433123
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.429495
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.427124
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.426006
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.426141
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.427529
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.430172
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.434072
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.439233
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66838
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.60396
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.57443
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.54749
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.5231
(434.43, 14.76, 316.81) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 10.01682
(434.43, 14.76, 316.81) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 9.891256
(434.43, 14.76, 316.81) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 9.770681
(434.43, 14.76, 316.81) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 9.654871
(434.43, 14.76, 316.81) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 9.543612
(434.43, 14.76, 316.81) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 9.436707
(434.43, 14.76, 316.81) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 9.33397
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.248771
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.430339
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.62605
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.837557
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.066825
(434.43, 14.76, 316.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.316131
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.375046
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.370024
(434.43, 14.76, 316.81) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 6.366249
