¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.149118
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.409147
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.693426
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.005595
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.349757
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731088
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.150517
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.612709
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.132333
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.710494
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26956
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81065
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46915
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9539
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63087
(387.91, 7.36, 358.22) (363.53, 1.37, 362.10) (0.81, 2.16, 0.81) Human 12.93915
(387.91, 7.36, 358.22) (363.53, 1.37, 362.10) (0.81, 2.16, 0.81) Human 12.78995
(387.91, 7.36, 358.22) (363.53, 1.37, 362.10) (0.81, 2.16, 0.81) Human 12.75689
(387.91, 7.36, 358.22) (363.53, 1.37, 362.10) (0.81, 2.16, 0.81) Human 12.73875
(387.91, 7.36, 358.22) (363.53, 1.37, 362.10) (0.81, 2.16, 0.81) Human 12.72317
(387.91, 7.36, 358.22) (363.53, 1.37, 362.10) (0.81, 2.16, 0.81) Human 12.71014
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.816298
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.965323
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.124807
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.295987
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.482305
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.684796
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.904014
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.142088
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.401439
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.685022
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.996334
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.339559
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.719769
(387.91, 7.36, 358.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.141237
