¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.15926
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.15606
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.15755
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.17244
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.21455
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.862472
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.18953
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.55087
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.952086
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.400098
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.921067
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.516639
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19954
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16767
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55791
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93249
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71201
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.07563
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44761
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83967
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.50314
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.24099
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.23787
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.24317
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.25639
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.27795
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.870663
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198558
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560907
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.963247
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.412597
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.937567
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.535511
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2213
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21182
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62551
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04194
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.80439
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16137
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53734
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93372
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.59267
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.32791
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.32579
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.33439
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.34774
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.36745
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878637
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.207376
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570645
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.974149
Í(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425947
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.953666
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.553926
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24254
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25463
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69966
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14757
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88945
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25032
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63045
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03133
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.60887
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.33741
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.3664
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.43102
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.4446
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.46297
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.886418
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215962
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.580165
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.984768
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.439814
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.969402
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571886
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26326
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29593
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77074
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24915
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00674
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35095
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72704
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13261
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.91347
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.54464
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.52506
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.52949
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.53872
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.55274
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.89399
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224319
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.589461
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.99512
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.453293
