¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.246836
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.237925
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.231763
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.226253
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.221389
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.217165
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.213578
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.210625
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.208302
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.206606
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.205538
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.205094
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.205276
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.206082
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.207515
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.209574
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.212264
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.215584
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.219541
(431.39, 10.28, 362.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.075664
(431.39, 10.28, 362.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.240934
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.720651
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.389559
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.362391
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.336302
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.314875
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.301699
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.289265
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.277562
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.267859
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.261669
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.256137
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.251256
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.247022
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.243431
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.240478
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.238162
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.236479
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.235428
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.235009
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.235221
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.236063
(431.39, 10.28, 362.95) (409.44, 2.35, 366.38) (8.54, 3.41, 3.87) Truck 3.237537
