¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.90625
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.16284
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.66637
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.56437
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.91642
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.798173
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.955188
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.123206
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.303138
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.496655
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.705984
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.933093
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.181334
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.445716
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.735097
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.060454
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.411882
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.800613
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.217975
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.680644
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.195
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.771331
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39484
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0929
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.87152
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.77727
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.81447
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.04781
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.5214
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.3743
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.66563
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.790068
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.946499
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.113955
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.293189
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.485922
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.694372
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.92049
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.167547
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430676
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.718624
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.041529
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.390967
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.777929
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.192726
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.652413
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.162872
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.734339
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35262
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04145
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80958
 (398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70289
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.7257
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.93658
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.38148
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.19123
(398.26, 13.94, 247.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.42944
