¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(412.42, 14.14, 246.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94282
(412.42, 14.14, 246.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71479
(412.42, 14.14, 246.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22853
(412.42, 14.14, 246.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74215
(412.42, 14.14, 246.41) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 13.13021
(412.42, 14.14, 246.41) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 13.36672
(412.42, 14.14, 246.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.66168
(412.42, 14.14, 246.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.21534
(412.42, 14.14, 246.41) (376.61, 7.54, 244.82) (1.36, 1.29, 1.33) Tools 19.30636
(412.42, 14.14, 246.41) (376.61, 7.54, 244.82) (1.36, 1.29, 1.33) Tools 19.27931
(412.42, 14.14, 246.41) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 13.02044
(412.42, 14.14, 246.41) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 12.99191
(412.42, 14.14, 246.41) (382.97, 7.85, 246.39) (1.15, 1.64, 1.10) Tools 12.994
(412.42, 14.14, 246.41) (378.03, 8.79, 246.19) (1.36, 1.29, 1.33) Tools 17.75101
(412.42, 14.14, 246.41) (378.03, 8.79, 246.19) (1.36, 1.29, 1.33) Tools 17.74351
(412.42, 14.14, 246.41) (378.03, 8.79, 246.19) (1.36, 1.29, 1.33) Tools 17.73948
(412.42, 14.14, 246.41) (378.03, 8.79, 246.19) (1.36, 1.29, 1.33) Tools 17.7389
