¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
• (422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.833946
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.241111
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.779944
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.7966
(422.65, 14.73, 249.45) (387.26, 7.89, 248.90) (0.81, 2.16, 0.81) Human 19.87763
(422.65, 14.73, 249.45) (387.26, 7.89, 248.90) (0.81, 2.16, 0.81) Human 19.81939
(422.65, 14.73, 249.45) (387.26, 7.89, 248.90) (0.81, 2.16, 0.81) Human 19.79522
(422.65, 14.73, 249.45) (387.26, 7.89, 248.90) (0.81, 2.16, 0.81) Human 19.77497
(422.65, 14.73, 249.45) (387.26, 7.89, 248.90) (0.81, 2.16, 0.81) Human 19.75856
(422.65, 14.73, 249.45) (387.26, 7.89, 248.90) (0.81, 2.16, 0.81) Human 19.74606
(422.65, 14.73, 249.45) (387.26, 7.89, 248.90) (0.81, 2.16, 0.81) Human 19.78622
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.145602
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.22213
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.304786
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.394312
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.491581
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.929699
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.912404
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.896017
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.880519
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.865895
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.852129
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.839207
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.827114
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.824016
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.100253
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.834273
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.822744
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.242119
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.781172
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.63091
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.52547
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.94208
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.95384
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.92891
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.90888
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.89374
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.88346
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.145794
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.222337
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.30501
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.394555
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.491845
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.597903
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.833812
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.817793
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.802645
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.788352
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.774901
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.762274
