¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ò(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.873583
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.200521
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.567199
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.974864
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.043646
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.604084
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2181
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93195
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80081
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76696
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91453
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17006
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87808
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.06982
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77356
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.613484
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.824762
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.053803
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.302872
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.574635
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.87229
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.199287
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.565833
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.97334
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.040236
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.601711
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2154
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92683
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79483
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76268
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90609
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24729
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90262
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30844
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03162
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.612693
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.823907
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.052882
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.301863
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.573533
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.87108
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.198133
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.564553
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.971915
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.434896
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.599457
(435.16, 13.92, 293.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21285
