¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.09368
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.163755
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.305003
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.567942
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.17145
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.06077
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.02773
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.01743
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.00911
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.11848
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.24431
(366.22, 7.03, 352.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98164
(366.22, 7.03, 352.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.199977
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.051704
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.957435
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.929592
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.903313
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.879364
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.942281
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.007737
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.075831
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.237393
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.495196
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.14044
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.03035
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.948902
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.938604
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.930261
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.970249
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.08983
(366.22, 7.03, 352.40) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.96638
(366.22, 7.03, 352.40) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.94637
(366.22, 7.03, 352.40) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.93105
(366.22, 7.03, 352.40) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.92041
(366.22, 7.03, 352.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.956688
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.106837
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.920389
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.862123
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.834632
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.808683
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.800085
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.861259
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.924904
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.991117
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.171659
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.424517
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.11179
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.00226
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.896987
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.862894
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.854538
å(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.848116
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.943948
(366.22, 7.03, 352.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.06466
(366.22, 7.03, 352.40) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.5767
(366.22, 7.03, 352.40) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.56153
(366.22, 7.03, 352.40) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.55097
(366.22, 7.03, 352.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.932193
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.976089
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.799381
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.770679
(366.22, 7.03, 352.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 6.743527
