¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.945221
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.473835
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07094
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7323
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47393
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31967
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06494
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.898
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87325
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.51194
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.58811
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.32772
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.3792
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.10202
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.54171
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.843008
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174866
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.044254
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.465967
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.936184
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.463692
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05942
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72025
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46011
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30412
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04608
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88614
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80954
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95255
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.51106
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.22727
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.25114
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.87355
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.537395
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.838263
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65726
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.036812
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.457718
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.926945
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.453247
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04761
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70929
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45126
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2955
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03636
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8701
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74675
(377.69, 11.31, 324.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8861
