¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
½(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.561996
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.712634
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.872859
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.04349
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.281914
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.6664
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102552
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.276192
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403276
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.536371
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675849
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.82217
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.97573
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.137094
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.306747
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.477507
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.638627
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.807724
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65059
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1019
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.25489
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.25456
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.25681
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.26166
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.967798
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.135614
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.260679
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.393052
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.533395
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.682352
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.840736
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.009403
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189353
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.561607
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983362
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.208186
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332669
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.463053
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.599669
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.742887
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.89319
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051052
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216943
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.391554
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.575401
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.755454
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.930967
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96103
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.17395
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.17362
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.17585
¾(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 13.18066
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.947903
(423.33, 14.72, 248.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.111943
