¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.102438
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.609494
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12297
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69663
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34152
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05644
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76547
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54407
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42683
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39897
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38119
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25821
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33535
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.41665
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50217
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03202
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.9127
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90729
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61142
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.1657
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.75497
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.42784
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.52347
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.140786
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.638146
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15492
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73242
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38198
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11253
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80929
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59362
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48324
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39955
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38183
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47532
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19635
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.07352
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98521
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.5421
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04732
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58236
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.1497
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.98274
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.86482
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.18329
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671112
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19187
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.642834
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.573073
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.521466
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.472461
† (399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.425956
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.381861
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.340125
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.300652
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.263499
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.228501
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.19567
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.179853
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.230169
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.32026
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86989
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76539
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.81345
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.224601
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.70561
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.612434
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.495543
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.444223
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.396715
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.351514
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.308628
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.267952
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.229464
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.193104
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.158864
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.126648
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.09652
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.08345
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.117596
(399.01, 12.59, 328.90) (376.25, 4.16, 320.24) (0.81, 2.16, 0.81) Human 9.222297
(399.01, 12.59, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.29316
