¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78983
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.27068
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.95057
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.619736
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.973248
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.362903
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.79442
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.274765
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.786724
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34792
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97963
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67014
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26764
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93225
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67585
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95034
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.30371
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.97665
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625147
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.979212
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.369493
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.801751
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.282956
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.79073
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3524
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98475
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64961
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22923
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88948
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6279
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.07842
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3273
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00082
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.630384
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.985007
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.375899
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.808806
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.290887
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.794554
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35668
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00049
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63992
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19148
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8474
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83666
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10155
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3446
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.02299
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.6354
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.990543
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.38203
…(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.815643
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.295271
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.798174
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36254
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02273
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6307
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17696
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80604
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11003
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1231
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36034
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.04319
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640261
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.995864
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.387927
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.822175
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.298322
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.801577
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38186
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04473
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62197
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16736
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76906
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25733
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.14312
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.37451
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.06139
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.644892
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.000983
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.393543
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.828481
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.301191
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812857
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.401
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06644
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6137
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15828
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75906
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32834
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16164
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38713
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.07759
(346.40, 6.65, 387.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649359
