¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Š (379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.584115
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.562843
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.543159
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.525036
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.508463
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.49342
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.479892
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.467867
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.457332
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.448276
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.612222
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.915066
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.902823
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.892347
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.883624
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.876648
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.871411
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.867908
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.918046
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.142513
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.386002
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636503
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.883201
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.145747
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.430584
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.572797
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.546917
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.522673
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.500044
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.479003
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.459531
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.441607
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.425212
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.410331
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.396949
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.385052
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.374629
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.450879
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.648493
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.072645
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.060076
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.049303
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.040317
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.033107
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.027668
(379.07, 14.41, 270.49) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 9.023995
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.923772
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.148741
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.392707
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.645092
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.888104
‡ (379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.152594
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442219
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.491228
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.465623
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.441636
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.419245
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.398427
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.379159
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.361423
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.345201
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.330476
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.317235
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.305461
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.295146
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.478226
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.685398
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.030837
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.025161
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.02125
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.019097
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.018705
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.020071
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.023197
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.929563
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.155007
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.399323
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.654195
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901582
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169509
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.4606
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.412827
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.387484
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.363745
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.341585
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.32098
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.30191
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.284356
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.2683
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.253724
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.240616
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.228962
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.218751
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.506012
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.722947
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.936251
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.93063
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.926753
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.92462
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.924226
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.925573
(379.07, 14.41, 270.49) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 8.92866
‚ (379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.934777
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.15931
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.402839
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.663276
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.917496
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186761
(379.07, 14.41, 270.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479357
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.457397
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.425564
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.395437
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.366983
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.340174
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.314979
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.291374
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.269333
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.248833
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.229855
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.212377
(379.07, 14.41, 270.49) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 7.196384
