¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.019537
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.359137
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.730581
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.085476
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.530496
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08075
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72406
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54408
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52193
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38969
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46686
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66317
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84261
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.85143
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12577
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.41233
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71181
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.487207
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.647563
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.818776
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.001889
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.198024
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.40138
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.621613
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.887505
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149793
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.414306
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.700717
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.011785
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.350708
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.721356
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.094601
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.542302
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09823
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74605
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56803
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4868
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34635
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40889
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51484
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.65889
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61605
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88315
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16206
(383.75, 7.19, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.45348
