¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 14.38284
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.23086
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.89861
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 16.2156
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 16.35694
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 16.35216
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 16.19324
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.76776
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 14.29632
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.409792
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.603259
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.812293
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.038712
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.284754
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.553067
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.84111
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156336
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.503568
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.894217
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.334939
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.829579
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.388612
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04314
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80121
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68552
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67529
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65692
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 14.50194
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.04179
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.58715
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.86572
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.98435
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.96775
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.8067
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.38487
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 14.41454
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.407617
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.600926
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.809763
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.035962
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.281775
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549785
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839774
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154888
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.501925
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.894941
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.335726
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.830484
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.389618
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03929
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79671
Ù(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68027
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70247
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69897
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 14.6259
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 14.8096
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.29019
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.5334
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.63128
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.60397
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.43998
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 15.02299
(392.46, 14.12, 249.78) (419.82, 8.52, 256.52) (2.92, 2.22, 3.18) Tools 14.53759
(392.46, 14.12, 249.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.405548
