¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
… (378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.15911
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.15942
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.16171
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.16598
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.17224
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.18049
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.697875
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.906434
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.132049
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.376885
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.639172
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.922175
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.231795
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.095413
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.069929
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.045997
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.023591
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.002687
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.983265
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.965305
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.948788
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.933698
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.920019
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.907739
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.896843
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.887322
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.612903
(378.49, 14.78, 274.48) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 8.954838
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.916391
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.916567
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.918676
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.922722
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.928707
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.936637
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.703431
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.912429
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.13855
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383938
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.647967
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.931758
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242345
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.036553
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.011288
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.98756
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.965347
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.944624
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.925369
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.907564
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.891191
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.876231
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.862673
„ (378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.8505
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.839701
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.830266
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.655038
(378.49, 14.78, 274.48) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 9.029666
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.686839
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.686897
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.688847
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.692682
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.698417
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.706049
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.709075
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.918518
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.145153
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.391112
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.656919
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.941514
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.006623
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.980014
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.954958
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.931429
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.9094
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.888849
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.869756
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.852099
