¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
²(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.75712
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.75005
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.74566
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.74396
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.74493
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.756536
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.953885
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.166515
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396158
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.644948
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.915261
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.209977
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.532456
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.886768
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.277709
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.69506
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.141865
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.639029
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19546
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82235
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50574
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24195
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08156
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91578
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.98281
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.96464
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.94923
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.93657
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.92665
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.91945
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.91497
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.9132
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.91415
