¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.832669
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.61253
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.975895
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.377432
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.823288
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.321219
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.880752
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51398
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2362
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06752
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90807
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81662
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.779387
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.924936
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.078703
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.243437
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.420308
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.61066
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.816043
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.038256
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.279395
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.541925
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.829168
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60797
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970836
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.371845
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.81711
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.314292
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.87298
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50512
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22609
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05586
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90119
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81368
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.779009
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.923183
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.076831
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.241432
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.418156
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.608344
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.813545
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.035553
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.276464
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.539836
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.825346
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603878
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.966374
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.36688
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.811604
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.308138
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.866021
î(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49726
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21711
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04545
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90276
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81691
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.778023
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.921644
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.075185
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.23967
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.416265
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.60631
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.811352
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.033179
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.273888
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.538387
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.821958
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60032
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.962457
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.362531
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.806769
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.302776
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.859995
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49039
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20924
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03641
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90727
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82207
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.776778
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.920316
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.073767
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.238152
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.414636
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.604558
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809461
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.031134
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.273677
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.535682
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.819004
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.129455
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.959093
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.358859
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.802666
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.298152
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.854815
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4845
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20252
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02862
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91186
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82917
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.775733
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.919202
Ù(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.072577
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.236878
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.413269
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.603086
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.807874
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.029908
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.274016
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.533372
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.816482
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.126691
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9563
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.355759
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.799226
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.294325
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.850503
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47962
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19696
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02217
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91015
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8382
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.774888
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.9183
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.071614
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.235846
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.412161
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.601895
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.806589
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.030723
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.272256
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.531458
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.814391
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.1244
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.954101
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.353302
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.796513
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.291282
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.847033
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47573
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19245
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01702
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91005
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84919
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.774242
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.917613
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.070878
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.235058
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.411316
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.600986
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.806797
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.031854
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.270861
á(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.529939
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.812733
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.122582
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.952436
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.351431
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.794437
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.28898
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.844466
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47281
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18912
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01316
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91157
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86207
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.773796
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.917136
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.07037
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.234514
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.410732
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.600358
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.808132
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.031734
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.269829
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.528817
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.811508
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.12124
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.462004
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.350217
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793094
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.287436
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.842737
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47085
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1869
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01061
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91479
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86877
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.773549
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.916873
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.070089
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.234213
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.41041
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.601723
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809759
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.031119
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.269161
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.528089
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.810715
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.120369
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.461046
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.349623
(377.39, 16.21, 287.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.792407
