¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(336.39, 7.37, 332.59) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 20.68661
(336.39, 7.37, 332.59) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 20.68485
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.001409
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.233943
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.486586
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.761931
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.06312
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346855
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.585112
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.840946
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.116227
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413266
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.734647
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.083384
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.46306
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4524
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38808
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12944
