¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„ (407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.503186
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.553745
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.606483
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.697788
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.815557
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.00071
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.348403
(407.25, 14.35, 245.63) (432.24, 8.60, 233.95) (2.32, 1.85, 2.92) Tools 14.5791
(407.25, 14.35, 245.63) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 15.57127
(407.25, 14.35, 245.63) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 15.49258
(407.25, 14.35, 245.63) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 15.56142
(407.25, 14.35, 245.63) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 15.77697
(407.25, 14.35, 245.63) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 16.24561
(407.25, 14.35, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581549
(407.25, 14.35, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.848031
(407.25, 14.35, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.138471
(407.25, 14.35, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.456145
(407.25, 14.35, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.804989
(407.25, 14.35, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.105844
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.12965
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.818265
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.662872
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.551662
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.485142
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.440018
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.401188
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.40308
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.406418
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.423806
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.47315
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.524629
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.616587
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.731761
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 7.915542
(407.25, 14.35, 245.63) (428.09, 8.60, 239.50) (2.79, 1.85, 2.11) Tools 8.259736
(407.25, 14.35, 245.63) (432.24, 8.60, 233.95) (2.32, 1.85, 2.92) Tools 15.0049
(407.25, 14.35, 245.63) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 16.13286
(407.25, 14.35, 245.63) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 16.04858
(407.25, 14.35, 245.63) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 16.1188
(407.25, 14.35, 245.63) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 16.35624
(407.25, 14.35, 245.63) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 16.88502
(407.25, 14.35, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.578706
(407.25, 14.35, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844943
(407.25, 14.35, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135084
