¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ø(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.98564
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64766
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40603
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28333
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30962
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52613
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99083
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78784
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.04436
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.96163
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.040442
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.283724
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.987186
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296332
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.63569
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.009785
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.424166
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.885565
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.402348
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.985075
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64699
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40528
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28246
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30857
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52487
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9893
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78598
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.04197
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.95848
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.040215
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.704158
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986894
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296051
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635367
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.00942
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.423729
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88507
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.401817
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.984478
(368.78, 7.16, 350.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64632
