¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¤(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.34836
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.34333
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.34148
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.815038
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.887291
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.962796
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.041634
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.123992
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.210177
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.300342
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.450487
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.022061
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.532237
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.736042
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.911563
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.073522
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.22426
