¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¸(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.972943
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.239716
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.047597
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378322
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.743182
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147705
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.598557
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.104153
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.674899
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32413
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06908
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93241
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9101
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04386
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39922
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04778
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.04727
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.49756
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.65464
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.103003
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.292541
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.497811
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.72081
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.963874
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.743892
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.044754
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375156
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.739696
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.143834
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.59424
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.09927
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669413
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31786
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06185
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92398
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89659
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02787
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37995
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02416
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03756
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.47582
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.9134
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.096625
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.285579
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.490266
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.712604
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.466656
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741415
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.04204
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372184
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.736434
™(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140176
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.590199
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.094707
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.664223
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31193
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05506
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91605
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88381
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01272
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3617
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0018
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.02943
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.45627
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.82614
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.090549
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.278782
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.482814
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.21261
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.464562
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.739136
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.039519
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.369432
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.73337
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136805
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.58639
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.090447
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.659355
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30641
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04866
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90865
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87173
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99837
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34447
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9806
(376.07, 7.61, 340.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01149
