¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¹(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472061
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.757122
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.069788
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.414248
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.795661
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.220094
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.69524
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.22771
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.813479
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.48381
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24756
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12887
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16282
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.39255
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90644
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74629
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99812
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.64999
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.753667
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.972161
(438.11, 14.96, 251.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.209532
