¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.74798
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.03287
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.47896
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.14989
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98374
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.31823
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.451322
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02427
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28092
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3793
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.5643
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.75797
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.05164
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.50743
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.18339
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.10789
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.40168
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.44725
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0306
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27946
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38286
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.56989
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.76644
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.06875
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.53397
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.21494
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.15274
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.48274
(436.55, 14.52, 310.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.442598
