¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.328038
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.508781
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.703357
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.913419
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.140728
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.38753
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.652471
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934099
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234482
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.555535
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90801
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296691
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.727295
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207001
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.712113
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34901
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04966
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85284
(329.86, 7.40, 362.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 12.66651
(329.86, 7.40, 362.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 12.63067
(329.86, 7.40, 362.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 12.59747
(329.86, 7.40, 362.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 12.56689
(329.86, 7.40, 362.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 12.5389
(329.86, 7.40, 362.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 12.51346
(329.86, 7.40, 362.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 12.49056
(329.86, 7.40, 362.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 12.47017
(329.86, 7.40, 362.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 12.45227
(329.86, 7.40, 362.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 12.43684
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.32272
(329.86, 7.40, 362.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.503061
