¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Î(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19146
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4371
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94602
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84776
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33588
(431.84, 14.17, 333.07) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.66096
(431.84, 14.17, 333.07) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 20.81584
(431.84, 14.17, 333.07) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 23.52828
(431.84, 14.17, 333.07) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 23.3124
(431.84, 14.17, 333.07) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 23.24639
(431.84, 14.17, 333.07) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 23.29882
(431.84, 14.17, 333.07) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 23.51484
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509013
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.781035
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07823
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.404185
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.763191
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.160435
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.606737
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.11571
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.693765
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35709
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12021
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03926
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10679
(431.84, 14.17, 333.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33555
