°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.51305
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.675837
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34437
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10081
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64709
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25239
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03814
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10966
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01597
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.26369
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.50526
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659098
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.958766
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.288165
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.653167
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.061039
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.516583
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.680678
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02135
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55935
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15505
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86931
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84479
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62151
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16548
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.49354
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.663918
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.964055
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.293993
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.658317
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.063971
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.519871
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.685103
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35507
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9695
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47335
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05975
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71189
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5905
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33745
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55838
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.47962
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.668604
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.969199
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.299664
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.664597
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.069593
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.522911
(342.04, 7.10, 370.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.689096
