¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.537498
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46338
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59084
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47127
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63073
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86938
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2595
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.458439
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.608384
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.038183
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.210523
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.410857
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.679944
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.978413
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.311276
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.684768
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.106709
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.587106
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.138814
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.778932
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.55393
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48319
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61522
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57745
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79774
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05851
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.448791
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.598023
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.018208
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.189081
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.41384
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.683219
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.982041
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.315353
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.689348
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111897
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.59305
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.145714
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.791315
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.570255
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50294
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63949
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71977
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96951
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2537
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.439303
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.587839
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.747617
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.172453
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.4168
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.686483
ğ(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.985676
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.319394
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.693908
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.117064
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.598935
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.152512
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.805012
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.586533
(361.51, 8.66, 320.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52253
