¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¦(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57532
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29072
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92763
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64503
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.50657
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.4535
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.42801
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14627
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23317
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.3255
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.47279
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.603
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.88888
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.34844
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.34101
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.82222
(344.17, 8.08, 312.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.339576
