¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ì(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.53363
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.49334
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77665
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55918
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.49405
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.58748
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.078324
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.247211
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.428811
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.632878
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.852144
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.083524
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.335347
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616145
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.929385
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.274149
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.658847
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.094316
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.582767
(387.66, 13.79, 255.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.12849
