¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
â(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14864
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84849
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48568
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07413
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78264
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.56977
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.24903
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.202665
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.367981
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.545248
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.735798
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.9411
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.162862
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.403131
(396.93, 13.75, 246.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.664297
(396.93, 13.75, 246.86) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 6.68889
(396.93, 13.75, 246.86) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 6.511171
(396.93, 13.75, 246.86) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 6.479758
(396.93, 13.75, 246.86) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 6.449896
(396.93, 13.75, 246.86) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 6.421556
(396.93, 13.75, 246.86) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 6.394705
(396.93, 13.75, 246.86) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 7.160546
(396.93, 13.75, 246.86) (389.41, 7.25, 265.86) (0.46, 0.64, 3.99) Tools 7.194581
(396.93, 13.75, 246.86) (390.05, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.522006
(396.93, 13.75, 246.86) (391.40, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 10.3516
