¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
â(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22259
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61299
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02149
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.746362
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.036521
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.354259
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.703623
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.089489
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.506895
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.499979
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.972895
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54603
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88067
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15541
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44667
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7202
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89685
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08133
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27404
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47548
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68614
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93607
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27784
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63173
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00788
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3992
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79282
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21163
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.737567
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.026906
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.343709
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.691992
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.076969
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.490644
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.478243
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.95527
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53401
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94852
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22695
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52224
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76031
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9383
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12417
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31834
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52135
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76745
(346.59, 6.64, 387.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09079
