¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
£(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.080998
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.36388
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.680195
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.028368
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.409889
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.838849
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.31892
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.869045
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.49424
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93046
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81769
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89702
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09648
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43986
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04752
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.28682
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.15957
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.13928
(412.04, 14.61, 245.82) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 21.70828
(412.04, 14.61, 245.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 19.99031
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.903577
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.902387
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.903126
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.905798
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.910402
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.594287
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.834132
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.091581
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.374812
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.692292
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.043436
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.426435
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.857435
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.340318
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.893451
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.523264
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96892
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86071
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95043
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16041
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51857
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14371
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.25084
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.12942
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.10916
(412.04, 14.61, 245.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 19.75021
(412.04, 14.61, 245.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 19.6409
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.882936
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.881745
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.882479
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.885141
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.889732
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602107
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.842679
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.102143
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.385695
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.704341
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.057904
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.442966
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.87601
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.361709
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.917857
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26119
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00757
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90383
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00417
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22483
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59824
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24118
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.21869
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.10289
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.08265
(412.04, 14.61, 245.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 19.97587
(412.04, 14.61, 245.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 19.83964
(412.04, 14.61, 245.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 21.71589
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.8643
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.863107
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.863836
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.866489
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.871071
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.609879
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.851175
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.112683
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.39722
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716333
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.071251
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.459477
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.894572
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.383598
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.942258
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29309
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04646
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94699
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05825
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28972
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67887
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3399
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.19032
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.07996
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.05974
(412.04, 14.61, 245.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 20.21087
(412.04, 14.61, 245.82) (389.65, 7.80, 264.86) (2.39, 0.49, 3.68) Tools 20.07232
¡(412.04, 14.61, 245.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 21.47618
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.847649
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.846456
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.84718
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.849826
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.854396
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.617602
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.85962
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.123198
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.408791
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.72827
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.084539
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476188
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.913111
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.405835
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.966647
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32114
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08554
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99019
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11031
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35506
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76042
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43993
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.16572
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.06059
(412.04, 14.61, 245.82) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 18.0404
(412.04, 14.61, 245.82) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 19.31572
(412.04, 14.61, 245.82) (390.60, 7.79, 264.79) (2.41, 0.63, 3.70) Tools 19.67636
(412.04, 14.61, 245.82) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 21.68482
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.832967
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.831772
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.832495
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.835134
(412.04, 14.61, 245.82) (392.49, 9.32, 254.69) (1.63, 1.43, 1.67) Tools 9.839694
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.625275
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.868011
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133685
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.420331
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.740145
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.09776
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.492966
(412.04, 14.61, 245.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.931626
