¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Á(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.725741
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.790848
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.858665
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.929213
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.002699
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.079208
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.158894
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.241957
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.328539
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.418845
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817254
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.113722
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.438643
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.796261
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.110792
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.294231
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.487824
(420.55, 14.22, 321.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.692414
