¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.6941
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.71748
(406.50, 14.46, 245.58) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 16.55744
(406.50, 14.46, 245.58) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 16.5761
(406.50, 14.46, 245.58) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 16.81091
(406.50, 14.46, 245.58) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 17.31518
(406.50, 14.46, 245.58) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 17.82585
(406.50, 14.46, 245.58) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 17.80262
(406.50, 14.46, 245.58) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 17.88442
(406.50, 14.46, 245.58) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 18.11227
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.209168
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455025
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.722525
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014589
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334637
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686938
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.07635
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.509134
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.005136
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.569128
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21063
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94322
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5996
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39455
(406.50, 14.46, 245.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73014
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.96631
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.61366
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.44439
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.36227
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.39959
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.49335
(406.50, 14.46, 245.58) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.66142
(406.50, 14.46, 245.58) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 17.05347
(406.50, 14.46, 245.58) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 17.56031
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.67834
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.69441
(406.50, 14.46, 245.58) (436.71, 9.89, 234.61) (2.32, 1.85, 2.92) Tools 17.67844
