¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 6.953854
(418.20, 13.41, 327.22) (410.73, 7.96, 306.00) (1.13, 0.85, 1.39) Fence 7.036512
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.770554
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.881367
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.996816
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.117086
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.242458
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.373168
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.509523
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.651814
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.800379
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.955514
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11768
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30549
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52118
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74821
(418.20, 13.41, 327.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98746
(418.20, 13.41, 327.22) (403.02, 10.55, 298.23) (1.19, 1.67, 1.17) Tools 17.11462
