¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.89032
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.02089
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.26606
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.660079
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.938944
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243686
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.577967
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.937238
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.312475
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.716667
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.164076
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.664585
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25593
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91198
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63492
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.393
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.56958
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.21281
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.03381
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.93553
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.89732
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.8812
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 11.93036
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.00849
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.14179
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.38676
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655857
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934378
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.238646
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.572406
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.927733
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302423
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.705549
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.151722
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.660726
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25156
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90702
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54865
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15391
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.76727
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.36902
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.17347
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.07316
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.02715
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.00772
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.05603
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.13128
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.26745
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.51215
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.6516
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.929717
å(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23357
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.563744
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.91819
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.29244
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.694553
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.13952
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.656837
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24723
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90213
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46477
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92335
(428.24, 15.02, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16172
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.53218
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.31899
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.21655
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.16225
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.14258
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.18669
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.25888
(428.24, 15.02, 245.60) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 12.39806
