¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.278124
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16064
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62477
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12566
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.66778
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.5094
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.25454
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.26085
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.26126
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.27588
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.29468
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.444077
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.456641
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.473404
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.511665
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.551481
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.59291
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.646724
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.732603
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.822673
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.990252
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.884885
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.008923
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.241099
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16739
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.632
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13348
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6762
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44522
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.28872
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.2951
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.29557
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.31027
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.32915
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.430937
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.443361
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.45988
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.497847
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.537358
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.578469
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.631282
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.716527
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.805923
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.969425
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.852778
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.975382
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.20521
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17558
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64079
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14294
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68646
ø(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40124
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.32715
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.3336
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.33413
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.34891
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.36789
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.41858
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.430873
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.447061
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.48475
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.523972
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.564785
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.616486
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.701125
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.789876
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.94903
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.821937
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.942873
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.170437
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18526
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6512
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15416
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69854
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36658
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.36983
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.37637
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.37696
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.39185
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.41093
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.43423
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.406994
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.419165
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.434938
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.472365
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.511315
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.551845
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.602326
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.686388
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.774526
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.929062
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.79234
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.911377
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 7.136757
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19644
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6632
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16707
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71251
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.29039
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.41683
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.42345
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.42412
ƒ (417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.43911
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.45831
(417.26, 13.16, 328.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.48174
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.396172
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.408229
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.423503
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.460683
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.499379
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.539643
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.588796
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.672308
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.759861
(417.26, 13.16, 328.41) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 4.909518
(417.26, 13.16, 328.41) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 6.763962
