¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ä(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.826612
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.813352
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.801846
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.792082
(333.33, 7.49, 371.44) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.78405
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.777741
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.773152
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.770277
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.769112
(333.33, 7.49, 371.44) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 8.720186
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.694123
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.921332
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.16871
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.432464
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718876
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.033326
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.380213
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.764677
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.196329
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.697547
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.952158
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.924398
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.898538
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.874554
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.85242
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.832111
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.813612
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.796901
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.781961
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.768779
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.757341
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.747637
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.739655
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.733389
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.728834
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.725983
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.724833
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.725386
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.684498
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.910868
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.157294
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.42018
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705396
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.018523
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.363846
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746465
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.175513
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.674039
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.908751
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.881134
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.855411
Æ(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.831553
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.809535
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.789336
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.770937
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.754315
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.739458
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.726349
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.714977
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.70533
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.697395
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.691171
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.686646
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.683818
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.682684
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.683243
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.674894
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.900469
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.145937
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.408012
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.691998
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.003811
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.34758
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.728408
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154785
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650664
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.867488
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.84001
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.814414
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.790677
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.76877
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.748673
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.730369
(333.33, 7.49, 371.44) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 8.713833
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.699056
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.686017
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.674706
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.665111
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.657225
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.651037
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.646542
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.643736
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.642616
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.643183
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.665337
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.890074
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.134604
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395866
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678736
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98921
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331469
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.71055
Ì(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.134226
(333.33, 7.49, 371.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.627439
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.828325
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.800978
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.775505
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.75188
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.730079
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.710081
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.691865
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.675412
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.660707
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.647735
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.636482
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.62694
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.619095
(333.33, 7.49, 371.44) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.612943
