¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù(443.40, 14.74, 260.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.322924
(443.40, 14.74, 260.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.69312
(443.40, 14.74, 260.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.077862
(443.40, 14.74, 260.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.500166
(443.40, 14.74, 260.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03072
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.06002
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 9.898492
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 9.791669
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 9.736395
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 9.691983
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 9.686456
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 9.690302
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 9.727459
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 9.780735
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 9.879656
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.01395
(443.40, 14.74, 260.18) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 10.29158
(443.40, 14.74, 260.18) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 13.51875
(443.40, 14.74, 260.18) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 13.6902
(443.40, 14.74, 260.18) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 13.8608
(443.40, 14.74, 260.18) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 13.69797
(443.40, 14.74, 260.18) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 13.51148
(443.40, 14.74, 260.18) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 13.51625
(443.40, 14.74, 260.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273683
(443.40, 14.74, 260.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.596453
(443.40, 14.74, 260.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.950833
(443.40, 14.74, 260.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33154
