¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.008301
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.440874
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.924689
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.465439
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05666
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73839
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53629
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46492
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53198
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54537
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84435
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.49876
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.75117
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.73284
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.71799
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.70662
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.69872
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.69427
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.328261
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.507221
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.699773
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.907477
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.132102
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.375814
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.641006
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.930686
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248213
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.597783
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.984449
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.414293
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.894886
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.434715
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0219
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6892
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47889
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39781
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45431
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40007
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58803
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.36617
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.83066
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.8122
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.79725
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.78578
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.7778
(345.30, 7.14, 365.28) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.77329
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.31825
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.496479
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.688195
(345.30, 7.14, 365.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.894987
