¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55094
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20664
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.99588
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.42959
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.35417
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.81125
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.27151
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.75609
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.2669
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.80588
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.618822
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.91893
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.258352
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.625413
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.057452
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.515888
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057085
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.665764
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34251
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.15221
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0964
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2065
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52742
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18985
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92735
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.45365
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.11518
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.56351
(422.16, 14.80, 245.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03405
