¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
–(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.29752
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.1936
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.14498
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.10013
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.05897
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.02155
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 17.98777
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.04262
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.059669
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.527689
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05813
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60172
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18597
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83458
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.49989
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.24201
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.9864
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.84911
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.69522
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.61842
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.62468
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31704
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.4238
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.2795
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.23137
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.18705
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.14644
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.10956
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.07633
(399.02, 12.63, 328.90) (365.88, 3.76, 320.48) (0.81, 2.16, 0.81) Human 18.15201
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.06934
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.538435
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07199
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.612
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.19746
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.84311
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50945
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.25074
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.99072
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85929
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.70662
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.62499
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.62497
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 18.70566
(399.02, 12.63, 328.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 19.95075
