¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ê (417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.440402
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.72794
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.78507
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.85641
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.84708
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.84905
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.8578
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 12.00487
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 12.00479
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.648584
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.532556
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.625617
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.722697
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.824015
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.539757
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.060926
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.672803
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39918
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.10253
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85824
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 12.02802
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.99473
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.370622
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.552215
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.395083
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.372118
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.393769
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.533367
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.62819
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.61449
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.75559
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.74634
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.7477
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.75626
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.90283
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.90275
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.633211
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.475073
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.566213
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.661272
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.760461
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.513786
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.827375
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.799732
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.773627
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.749033
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.725924
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.704275
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.684063
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.665268
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.666846
Ã (417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.650783
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.466514
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.462592
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.610745
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.612311
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.51878
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.65872
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.64956
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.65032
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.65871
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.97223
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.99133
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.617739
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.533251
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.611875
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.693736
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.778989
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.48772
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.002157
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.603579
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34123
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 9.939117
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.06335
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 10.05022
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 9.961503
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 9.952418
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.601761
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.595282
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.5901
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.71587
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.731591
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.730242
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.42683
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.56568
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.55659
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.55676
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 11.56499
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 12.73796
(417.51, 13.47, 326.68) (426.17, 13.68, 302.42) (8.74, 12.42, 18.26) Truck 12.75875
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.602148
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.595417
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.675862
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.759627
(417.51, 13.47, 326.68) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 6.846872
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.461559
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.972602
(417.51, 13.47, 326.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.560272
