¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.560894
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.868916
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.208731
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573082
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970812
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.446463
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.970364
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.546165
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20848
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02224
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01847
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94657
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.3686
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.52252
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.098288
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.270226
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.455269
(380.16, 10.10, 321.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.657096
