¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
— (403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.319571
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.315616
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.323786
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.347939
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.39219
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.46857
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.68879
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.6913
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.62172
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.582627
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.558204
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.535363
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.51379
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.493459
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.474338
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.456426
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.439698
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.424134
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.40971
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.396425
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.384253
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.373192
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.363227
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.354348
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.346546
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.339815
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.334138
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.330342
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.338899
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.364254
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.41119
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.495027
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.73281
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.652568
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.609643
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.58493
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.562371
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.541071
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.521022
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.502195
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.484576
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.468127
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.452868
(403.71, 13.94, 248.46) (382.17, 8.01, 253.39) (0.81, 2.16, 0.81) Human 5.438738
