¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54764
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12984
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76556
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4169
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.14665
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.86489
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.66235
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.47486
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.36865
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.19799
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.11107
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.02107
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.14165
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.79087
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.255807
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.581945
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.937821
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.330448
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.752058
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.123167
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.529082
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.991927
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.53048
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11068
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.74374
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.39253
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.11903
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.8356
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.63071
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.44159
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.3312
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.16031
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.07568
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.982
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.09466
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.17431
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.245285
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.570407
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.925114
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.316395
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.736348
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.106027
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.510312
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.976445
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51357
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.09179
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72244
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36875
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.09211
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.80732
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.60016
í(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.40979
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.29542
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.12474
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.04275
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.94564
(348.26, 8.73, 312.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.05051
