¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587914
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.854267
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144446
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.461838
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.257579
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.158164
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.132687
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.108771
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.086392
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.065528
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73308
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42804
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18297
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00961
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92749
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87362
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93313
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.09572
(401.07, 14.11, 244.13) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 17.99907
(401.07, 14.11, 244.13) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 18.51295
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.90486
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.92114
(401.07, 14.11, 244.13) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 18.46865
(401.07, 14.11, 244.13) (385.65, 8.43, 272.44) (1.19, 1.64, 1.19) Tools 18.29714
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.119512
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346237
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.591748
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858392
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.148996
(401.07, 14.11, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.466791
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.271122
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.170517
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.144995
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.121038
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.098619
(401.07, 14.11, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 7.077717
