¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122957
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.540185
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.004436
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.524033
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10937
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77528
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41337
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94829
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53838
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.94017
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.91262
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.88769
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.86537
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 12.85912
(429.57, 14.75, 251.45) (410.95, 7.73, 236.00) (1.88, 1.40, 1.43) Tools 13.17881
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.44984
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.44126
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.4357
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.43314
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.4336
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746854
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.123844
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.541173
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.005542
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.525273
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11427
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7834
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47108
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01179
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60854
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40771
(429.57, 14.75, 251.45) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 14.50617
(429.57, 14.75, 251.45) (410.71, 7.73, 234.72) (1.88, 1.40, 1.43) Tools 14.91249
(429.57, 14.75, 251.45) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 15.52689
(429.57, 14.75, 251.45) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 15.80768
(429.57, 14.75, 251.45) (410.45, 7.73, 233.40) (1.88, 1.40, 1.43) Tools 16.30151
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.4646
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.44995
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.43835
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.67926
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 16.2787
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747364
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124425
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.54182
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.00762
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.530936
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1209
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79097
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49578
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07635
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67995
×(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5211
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00855
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.39509
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.36318
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.33476
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.3098
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.45611
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747612
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124697
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.544687
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.012451
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.536371
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12707
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79801
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50678
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14203
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75263
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63554
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.22027
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.3247
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.29288
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.26453
(429.57, 14.75, 251.45) (409.79, 7.58, 231.56) (2.00, 1.13, 2.14) Tools 17.23963
(429.57, 14.75, 251.45) (410.45, 9.12, 233.40) (1.88, 1.40, 1.43) Tools 15.45062
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.74853
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.128156
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.548656
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.016897
(429.57, 14.75, 251.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.541366
