¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.394691
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.877302
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49298
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99023
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53932
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.889784
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.871772
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.855743
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.841683
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.829576
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.887539
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.15861
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.56281
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.55592
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.55324
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.55476
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.56048
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.57042
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.849066
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.085694
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.336461
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.610162
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.918777
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.260888
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640154
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.062893
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.536863
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.931083
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.364228
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.843516
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49202
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98918
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53815
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.847831
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.829894
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.813931
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.799929
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.78787
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.842419
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.04449
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.8369
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.070503
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.319931
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.592073
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.898363
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.238281
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.615065
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.034822
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.505332
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904007
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.334397
Ú(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.813413
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49187
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98901
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53797
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.808135
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.790268
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.774369
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.76042
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.74841
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.799431
(396.68, 14.11, 247.03) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.97715
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.824802
(396.68, 14.11, 247.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.055404
