¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11297
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.94581
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.87685
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.881824
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.868979
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.909897
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 10.49753
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 10.48272
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 10.46999
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.507906
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.500083
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.494123
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.49002
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.487768
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.487367
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.488815
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.492115
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.49727
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.504284
(428.15, 14.92, 245.56) (444.82, 9.13, 268.27) (5.13, 3.13, 8.53) Truck 9.513165
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.100655
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.439831
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805934
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.22261
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.675021
(428.15, 14.92, 245.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.190416
