¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
• (425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.473833
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.447765
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.423147
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.399962
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.378193
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.357813
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.338794
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.321115
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.304763
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.28971
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.275965
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.2635
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.25231
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.242364
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.233678
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.236402
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.260314
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.3107
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.407005
(425.26, 14.90, 245.52) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 13.13761
(425.26, 14.90, 245.52) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 13.12936
(425.26, 14.90, 245.52) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 13.12367
(425.26, 14.90, 245.52) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 13.12055
(425.26, 14.90, 245.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.907286
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.663915
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.569545
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.522819
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.495243
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.46932
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.44487
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.421856
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.400251
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.380028
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.361176
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.343673
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.327496
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.312635
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.299063
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.286787
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.275772
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.26602
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.257514
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.260474
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.286284
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.341767
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.456685
(425.26, 14.90, 245.52) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 12.84757
(425.26, 14.90, 245.52) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 12.84214
(425.26, 14.90, 245.52) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 12.83922
(425.26, 14.90, 245.52) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 12.8388
(425.26, 14.90, 245.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.899639
 (425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.764834
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.626721
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.570648
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.542255
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.516487
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.492192
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.469331
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.447899
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.427848
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.40918
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.391866
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.375892
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.361232
(425.26, 14.90, 245.52) (446.31, 8.75, 254.23) (0.81, 2.16, 0.81) Human 6.347875
